Date,PX_LAST,PX_VOLUME
9/18/2000,144.6563,5109300
9/19/2000,145.9688,6588200
9/20/2000,144.8906,6508100
9/21/2000,142.6875,5972300
9/22/2000,145.2813,7791300
9/25/2000,144.25,9726300
9/26/2000,142.4063,5302400
9/27/2000,143.1563,7186200
9/28/2000,145,7036400
9/29/2000,143.625,9333600
10/2/2000,143.8438,5517800
10/3/2000,142.5,9347200
10/4/2000,143.6875,6149000
10/5/2000,144.1875,4566900
10/6/2000,141.0625,10014900
10/9/2000,140,4508000
10/10/2000,137.6875,6104700
10/11/2000,136.5313,10366000
10/12/2000,133.125,12336900
10/13/2000,137.5625,11778800
10/16/2000,138.1875,5659000
10/17/2000,134.75,7831700
10/18/2000,134.25,10897300
10/19/2000,139.2813,8767300
10/20/2000,139.9063,7373500
10/23/2000,140.5313,5290000
10/24/2000,139.5938,5750700
10/25/2000,136.3125,9137600
10/26/2000,136.6875,9345800
10/27/2000,139.2813,9762900
10/30/2000,140.5313,10154100
10/31/2000,142.9531,7752400
11/1/2000,142.4688,6753600
11/2/2000,142.7031,11395100
11/3/2000,142.7813,5187100
11/6/2000,143.7813,4042500
11/7/2000,143.75,5231300
11/8/2000,140.5625,6123300
11/9/2000,140.0313,10635300
11/10/2000,136.625,8569500
11/13/2000,135.5625,17285300
11/14/2000,139.125,7668900
11/15/2000,139.5625,8837700
11/16/2000,137.375,6684100
11/17/2000,136.6406,6551100
11/20/2000,134.6875,5458500
11/21/2000,135.375,7684300
11/22/2000,132.1406,5736900
11/24/2000,134.8438,3411600
11/27/2000,136.0313,5992000
11/28/2000,133.6875,5336100
11/29/2000,133.4375,6914100
11/30/2000,132.2813,11201600
12/1/2000,132.2188,7587200
12/4/2000,133.3438,6996600
12/5/2000,137.7188,8883400
12/6/2000,135.5156,12888000
12/7/2000,133.6563,6529100
12/8/2000,133.9688,10276300
12/11/2000,138.625,6405600
12/12/2000,138.0313,5022900
12/13/2000,136.1406,6070500
12/14/2000,134.4063,7778400
12/15/2000,130.9688,9065300
12/18/2000,132.7188,7235400
12/19/2000,130.0156,9616700
12/20/2000,126.25,9994300
12/21/2000,127.125,14331500
12/22/2000,130.9375,10182900
12/26/2000,132.3438,4665300
12/27/2000,133.3125,4854100
12/28/2000,133.7188,8358700
12/29/2000,131.1875,8774600
1/2/2001,128.8125,8737500
1/3/2001,135,19431600
1/4/2001,133.5469,9219000
1/5/2001,129.1875,12911400
1/8/2001,130.1875,6625300
1/9/2001,129.8438,5702400
1/10/2001,132.125,8746100
